Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K00147_upstream.fna.motif.h1_1;High-covariation	0	NA	NA	NA	NA	NA
K01889_upstream.fna.motif.h1_1;High-power	0	NA	NA	NA	NA	NA
K02014_upstream.fna.motif.h1_4;High-covariation	0	NA	NA	NA	NA	NA
K02094_upstream.fna.motif.h1_2.h1_4;High-covariation	4719.92354031457	-0.68955909352683	0.11376799242197785	-6.061099249859137	1.3519437241879321e-9	6.260717933041969e-9
K03320_upstream.fna.motif.h1_3;High-covariation	0	NA	NA	NA	NA	NA
K03325_upstream.fna.motif.h2_1;High-power	0	NA	NA	NA	NA	NA
K10716_upstream.fna.motif.h1_4;Conserved-sequence	0	NA	NA	NA	NA	NA
gene-SYNPCC7002_RS00475	22345.382475968505	-0.2745030068983548	0.052161050242192836	-5.262605059211606	1.4202845607747518e-7	5.427935210422517e-7
gene-SYNPCC7002_RS00480	382.9999545904353	-0.3444610985880698	0.08153052893307933	-4.224933936964952	2.3901088241343025e-5	7.046249784811236e-5
gene-SYNPCC7002_RS00485	1111.4874432888241	-0.7974165420660713	0.10308083985518876	-7.735836681058355	1.0272526438678434e-14	7.21305164468592e-14
gene-SYNPCC7002_RS00490	4531.012748291097	-0.2694081332517539	0.054894979200914795	-4.907700798386756	9.215029096531609e-7	3.2493517631234006e-6
gene-SYNPCC7002_RS00495	1428.490569944257	0.0625247747725522	0.06500202753425388	0.9618896078219059	0.33610505933167223	0.4174873664837387
gene-SYNPCC7002_RS00500	857.5891362556335	0.0352362127555734	0.07164023142391425	0.49184951046670106	0.6228257330745559	0.6911508049236673
gene-SYNPCC7002_RS00505	31.625793349821485	-0.9139904584453159	0.32706636813479767	-2.7945106788498117	0.005197832403528097	0.010379632011240253
gene-SYNPCC7002_RS00510	4255.8296308128965	0.5125449736441772	0.05582178860033704	9.181808510540677	4.2391114598593284e-20	4.1083843699295347e-19
gene-SYNPCC7002_RS00515	8106.89420676661	0.10449817090748231	0.050990236047238534	2.0493760964485985	0.040425352786168295	0.06625664150320343
gene-SYNPCC7002_RS00520	2259.5873761653643	-0.17143006312267425	0.05217492168266608	-3.285679356939561	0.001017367487894798	0.002312653481963105
gene-SYNPCC7002_RS00525	4129.669945531678	0.0030500801917395237	0.06079502580616741	0.05016989714691601	0.9599869999305383	0.970783479779804
gene-SYNPCC7002_RS00530	32672.13924051183	-0.13466919686940046	0.05822792875638953	-2.312793873071138	0.020733974814738418	0.03627885214881527
gene-SYNPCC7002_RS00535	328.9514182351107	-0.3977079190309431	0.08238537580601364	-4.827409174747162	1.3832073788355199e-6	4.7835921851395065e-6
gene-SYNPCC7002_RS00540	1819.651224265272	-0.4543296517560827	0.08123041280271032	-5.593097906070516	2.23053425257402e-8	9.209488999466969e-8
gene-SYNPCC7002_RS00545	553.4964922059556	0.3123805926054992	0.0869982226033636	3.590654880728813	3.2984815563820647e-4	8.186977797031111e-4
gene-SYNPCC7002_RS00550	8776.169121526862	0.03832413563999609	0.06345400285186206	0.6039671875305731	0.5458654576375037	0.620641547724833
gene-SYNPCC7002_RS00555	23438.544637675204	-0.7266022245673418	0.08638808434612924	-8.410907940221023	4.0684896552162775e-17	3.219975798028139e-16
gene-SYNPCC7002_RS00560	215.2582656672264	-0.04328281508741428	0.10028920615642234	-0.43157999495883465	0.6660467006969639	0.7273931073401053
gene-SYNPCC7002_RS00565	762.9915315565881	-0.3244714077002452	0.08853577854482095	-3.66486196917535	2.474720135710419e-4	6.307613448263485e-4
gene-SYNPCC7002_RS00570	6267.612925438919	-0.656316807531306	0.06636913244934912	-9.888886343846467	4.6517375902621605e-23	5.139138081801574e-22
gene-SYNPCC7002_RS00575	643.963856969121	0.709204211556312	0.06574853225151026	10.786616632647664	3.9817977563207655e-27	5.0944977617432083e-26
gene-SYNPCC7002_RS00580	4518.055325236874	-0.0010253286486532713	0.05749657958443929	-0.01783286338185521	0.9857721877368807	0.9906689139100537
gene-SYNPCC7002_RS00585	2249.627375775339	0.6327403821521744	0.12877120784071774	4.913679018487085	8.938304185373331e-7	3.1621082675468273e-6
gene-SYNPCC7002_RS00590	3859.8911307678254	-0.11231581401505457	0.04843110184976427	-2.319084425612779	0.02039045906529133	0.03573574228172606
gene-SYNPCC7002_RS00595	2755.612776967914	0.15058100388069687	0.05676845386523265	2.652547209373953	0.007988695551860506	0.015193541422663019
gene-SYNPCC7002_RS00600	3227.02824392559	-0.092062944876558	0.05379330335758909	-1.7114201792846373	0.0870035746700186	0.1311129288672487
gene-SYNPCC7002_RS00605	767.6167786504462	-0.2059996191318874	0.0728654156834413	-2.827124736745321	0.0046968028671991145	0.009466719104061976
gene-SYNPCC7002_RS00610	4022.1202921100007	0.2325162892855482	0.05657428216127716	4.109929112714334	3.9578059568138494e-5	1.1297546633339003e-4
gene-SYNPCC7002_RS00615	437.4431365158406	0.716743776777676	0.084283943109123	8.503918425478776	1.8329635893920816e-17	1.490779683131198e-16
gene-SYNPCC7002_RS00620	19570.168505168018	-0.4967099871451672	0.31958727237767176	-1.554223306359275	0.12013116002705267	0.17383306437531046
gene-SYNPCC7002_RS00625	603.757066142386	0.18524652785557197	0.10469358062946416	1.76941629794098	0.07682442777615876	0.11802594813071947
gene-SYNPCC7002_RS00630	80.44632139061858	0.9694363519048378	0.1522187166439231	6.368706643169165	1.906288144330675e-10	9.73289388517097e-10
gene-SYNPCC7002_RS00635	154.83277401753935	0.7376103012989847	0.12957189840386332	5.692671870870668	1.2506659880383294e-8	5.271361723020927e-8
gene-SYNPCC7002_RS00640	5668.124826763139	-0.20874948109107822	0.06035797164547188	-3.45852379396084	5.431442947009766e-4	0.0012956212836750635
gene-SYNPCC7002_RS00645	217.55880394972968	0.8300705728467099	0.14955556239988735	5.550248747199624	2.8526341592837403e-8	1.1644359109207398e-7
gene-SYNPCC7002_RS00650	549.6468380824693	1.3223422641561338	0.07123230405466179	18.563800254746827	6.308048523221524e-77	3.047634786517623e-75
gene-SYNPCC7002_RS00655	539.5024510084118	1.0870848940845483	0.06691962847541706	16.244634330029033	2.43790723131207e-59	8.135572894595021e-58
gene-SYNPCC7002_RS00660	561.0344082408186	0.006961596546120007	0.07705468662209372	0.09034617946423422	0.928012124264114	0.9464320246512089
gene-SYNPCC7002_RS00665	663.4154128079905	-0.04781683894048461	0.11040950421462596	-0.43308625720783106	0.6649521063285067	0.7271790433058702
gene-SYNPCC7002_RS00670	9372.92084063403	-0.5187904050887958	0.09491754180090316	-5.46569575281457	4.610946241095427e-8	1.856422012739539e-7
gene-SYNPCC7002_RS00675	1648.0216122565862	-0.33626068117176244	0.06372597904205216	-5.276665595829721	1.3155563417300332e-7	5.0455638367063e-7
gene-SYNPCC7002_RS00680	13.761566016549844	-0.9856627802029294	0.48202707499329905	-2.044828664897364	0.04087175268138555	0.06694580998867022
gene-SYNPCC7002_RS00685	5561.916002453327	-0.2834354398184505	0.07274862876071256	-3.896093227416515	9.77567728328943e-5	2.645808308194639e-4
gene-SYNPCC7002_RS00690	365.17904246970306	0.5443154137012238	0.0771308757625566	7.057036605896588	1.7009082866144566e-12	1.0408015356844983e-11
gene-SYNPCC7002_RS00695	8517.421167802157	0.33384878463038836	0.09584788690632648	3.4831105348901805	4.956236825097879e-4	0.0011919270878782938
gene-SYNPCC7002_RS00700	60391.016497490586	0.5387388364635141	0.036662327546516625	14.694616313707035	6.979268065105481e-49	1.7513093586625149e-47
gene-SYNPCC7002_RS00705	393.41484357117355	-0.06957480050045992	0.08707893846660156	-0.7989854002083958	0.4242988776782991	0.5056905254214485
gene-SYNPCC7002_RS00710	1119.0276199168093	0.07568686437407003	0.053525030465138915	1.4140461708539376	0.1573483465164427	0.21925811350569308
gene-SYNPCC7002_RS00715	1512.1780177170442	0.2027862963171341	0.06933224361433787	2.9248483208640605	0.0034462415456473472	0.007114466762283458
gene-SYNPCC7002_RS00720	282.18555296811405	0.19023407959408767	0.10764397750473385	1.7672524186104304	0.07718596454098481	0.11846892708353145
gene-SYNPCC7002_RS00725	652.5870325352638	0.0923962844943155	0.0916895086932291	1.0077083606528103	0.3135944901126025	0.3957525787502902
gene-SYNPCC7002_RS00730	16695.920813186982	-0.33425653911383496	0.08510599047357277	-3.927532448113964	8.582184517442919e-5	2.348312027300315e-4
gene-SYNPCC7002_RS16040	569.0474934744379	-0.10934831163594957	0.07430327654684021	-1.4716485829129924	0.14111579896636928	0.19964678376492018
gene-SYNPCC7002_RS00740	101.34934859935547	-0.01305745018411105	0.13546193197541115	-0.09639202684988443	0.9232092242900402	0.9427218482734573
gene-SYNPCC7002_RS00745	68.48310882297262	0.520353221121238	0.147542137763157	3.5268109098198	4.2059702586291775e-4	0.0010244338395171291
gene-SYNPCC7002_RS00750	7837.742305846986	-0.5235051796165074	0.08042075761975806	-6.5095778143712835	7.53623091026143e-11	3.960191470213677e-10
gene-SYNPCC7002_RS00755	429.27838163329284	-0.05850494809636253	0.08691882032409708	-0.6730987360184273	0.5008844780054154	0.5788515013579184
gene-SYNPCC7002_RS00760	2378.671865333104	-0.2001460630931687	0.04707851414287963	-4.2513249777964734	2.1250954687763477e-05	6.310948653604621e-5
gene-SYNPCC7002_RS00765	873.9294633648415	0.12171934982945466	0.09277514730379988	1.3119822858472496	0.18952611151311946	0.25824057408787776
gene-SYNPCC7002_RS00770	511.5420778193203	-0.14669257409313805	0.08189256540611173	-1.7912807269582767	0.07324825732972422	0.1129607474875261
gene-SYNPCC7002_RS00775	859.32327231578	0.7464793439260026	0.07874971400788579	9.479137204882447	2.5639420577009083e-21	2.626417861005646e-20
gene-SYNPCC7002_RS00780	49966.45406762894	0.8284265012959238	0.12162882734890727	6.81110325037896	9.685308456555576e-12	5.608469315540322e-11
gene-SYNPCC7002_RS00785	2027.4172964242787	0.22237723656367342	0.07124341311499494	3.121372585065954	0.0018001012612769293	0.0039424409896843165
gene-SYNPCC7002_RS00790	2386.359327526396	-0.0960509129470496	0.07842741578705412	-1.224710925167377	0.22068415631334032	0.29312868854586893
gene-SYNPCC7002_RS00795	1900.5212581413955	-0.2961328614248885	0.05264125839458119	-5.625489786075706	1.8498235219521456e-8	7.686622260024511e-8
gene-SYNPCC7002_RS00800	1037.5818394800685	0.08000446056236685	0.08436771734034655	0.948282863214398	0.3429854725305974	0.4244051890602232
gene-SYNPCC7002_RS00805	812.519553947995	-0.20890796803100783	0.0961672767474253	-2.172339439118005	0.029830069309159497	0.05034407421989014
gene-SYNPCC7002_RS00810	3582.062000013899	0.15298963109524094	0.040867529596685985	3.74354977178868	1.8143864188865493e-4	4.694779246951047e-4
gene-SYNPCC7002_RS00815	4731.290993361865	-0.13875543987282102	0.04617838256230618	-3.0047704612781803	0.0026578134319161285	0.005630459475858971
gene-SYNPCC7002_RS00820	5481.019513853905	-0.1891732319782033	0.07147132240716073	-2.646841077047848	0.008124752564919046	0.015407043967570564
